KIMBER,Bimbo,Cemex,Inbursa,Alfa,ICA,Elektra
23.73999,15.09,46.71993,8.57,16.8,1.62,32.4
23.73999,15.09,46.71993,8.4,16.8,1.62,32.4
23.48001,15.07,45.65996,8.23,16.73,1.584,31.6
24.02001,15,45.90007,8.68,17.05,1.62,32.4
23.87001,14.9,45.56002,8.51,16.86,1.71,34.2
23.94,14.85,44.1998,8.5,16.66,1.842,36.8
24.11001,15.24,43.83984,8.63,16.63,1.752,35
23.49,15,44.81977,8.65,16.6,1.842,36.8
23.7,15,45.18016,8.68,16.6,1.812,36.2
23.75001,15,45.10012,8.8,16.6,1.794,35.8
23.75001,15,45.10012,8.895,16.6,1.794,35.8
23.84001,15.25,45.00018,8.99,16.91,1.77,35.4
23.79999,15.25,44.5498,8.9,16.61,1.77,35.4
23.82999,15.45,45.18016,8.72,16.69,1.764,35.2
24,15.39,44.94004,8.7,16.73,1.764,35.2
24,15.39,44.94004,8.75,16.73,1.764,35.2
24.09999,15.3,46.00996,8.8,16.98,1.71,34.2
23.99001,14.97,46.15014,8.99,16.88,1.74,34.8
24.24999,14.52,46.61998,8.92,16.92,1.8,36
24.33999,14.58,45.92993,8.87,16.86,1.8,36
24.48999,14.65,46.61004,8.96,16.83,1.752,35
24.75999,15.01,47.29015,9.11,17.03,1.752,35
24.50001,14.85,47.78984,9.18,17.16,1.752,35
24.44001,14.8,48.32978,8.82,16.92,1.74,34.8
24.33,14.9,48.04986,8.98,17.16,1.782,35.6
24,14.88,47.20015,8.7,17.01,1.71,34.2
23.60001,14.57,46.61998,8.7,17.08,1.764,35.2
23.19999,14.51,46.12981,8.51,16.75,1.68,33.6
23.49999,14.54,46.0701,8.43,16.6,1.554,31
23.01,14.2,43.50022,8.29,16.5,1.5,30
22.65999,14.33,43.26002,8.38,16.31,1.404,28
22.89999,14.5,42.99001,8.5,16.31,1.464,29.2
22.8,14.34,42.66999,8.64,16.19,1.422,28.4
22.59999,14.3,41.58998,8.31,15.93,1.404,28
22.62999,14,41.93,8.11,15.99,1.434,28.6
23.19,14.3,41.05001,8.44,16.15,1.434,28.6
23.24001,14.3,40.13999,8.28,16.22,1.44,28.8
23.66001,14.5,41.27,8.1,16.17,1.494,29.8
23.97,14.35,41.06,8.1,16.2,1.494,29.8
23.82999,14.5,39.91,7.86,15.96,1.47,29.4
23.82999,14.5,39.91,7.945,15.96,1.47,29.4
23.99001,14.4,40.27999,8.03,15.75,1.53,30.6
23.84001,14.8,39.12999,8,16,1.494,29.8
23.79999,14.81,38.45001,7.84,15.81,1.464,29.2
23.60001,15,38.04,7.7,15.24,1.47,29.4
23.25,15,37.69999,7.81,15.05,1.452,29
23.24001,15.05,37.38001,8.09,15.28,1.434,28.6
23.01999,15.05,38.10001,8,15.43,1.404,28
23.25,15.09,38.64998,7.92,15.6,1.404,28
23.1,15.2,39.20999,8,15.83,1.404,28
